Beta 1,Beta 2,T,Specificity Mean,Specificity Std,Sensitivity Mean,Sensitivity Std,DER Mean,DER Std
0.1,0.1,0.1,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,0.1,0.5,81.10583333333334,19.38684559874307,87.70458333333333,16.28504573884618,36.74870833333333,43.61478191152303
0.1,1e-05,0.001,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-05,0.005,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-05,0.01,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-05,0.05,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-05,0.1,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-05,0.5,78.41687499999999,20.50991157965629,87.71916666666668,16.287853565122237,42.39252083333333,48.07009701710201
0.1,1e-06,0.001,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-06,0.005,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-06,0.01,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-06,0.05,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-06,0.1,80.725,19.291868202001698,87.70833333333333,16.28596998768315,36.92239583333333,41.94986071375938
0.1,1e-06,0.5,78.41687499999999,20.50991157965629,87.71916666666668,16.287853565122237,42.39252083333333,48.07009701710201
1e-05,0.0001,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.0001,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.0001,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.0001,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.0001,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.0001,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.001,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.001,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.001,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.001,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.001,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.001,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
