Beta 1,Beta 2,T,Specificity Mean,Specificity Std,Sensitivity Mean,Sensitivity Std,DER Mean,DER Std
1e-05,0.01,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.01,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.01,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.01,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.01,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.01,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.1,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.1,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.1,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.1,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.1,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,0.1,0.5,79.01666666666667,20.40573952773481,87.71479166666666,16.285575002042854,40.7769375,45.69468028463663
1e-05,1e-05,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-05,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-05,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-05,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-05,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-05,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-06,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-06,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-06,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-06,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-06,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-05,1e-06,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.0001,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.0001,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.0001,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.0001,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.0001,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.0001,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.001,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.001,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.001,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.001,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.001,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.001,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.01,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.01,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.01,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.01,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.01,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.01,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.1,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.1,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.1,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.1,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.1,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,0.1,0.5,79.01604166666665,20.40527411376288,87.71479166666666,16.285575002042854,40.77772916666667,45.694168112334424
1e-06,1e-05,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-05,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-05,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-05,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-05,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-05,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-06,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-06,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-06,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-06,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-06,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
1e-06,1e-06,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
